"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Month","Year","Acceptable PM2.5 AQI & Speciation Mass","Ozone","PM2.5","PM2.5 - Local Conditions"
2018-01-15,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,21,NA
2018-01-15,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,30,NA
2018-01-15,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,44,NA
2018-01-15,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,27,43,NA
2018-01-15,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,30,NA
2018-01-15,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,24,NA
2018-01-15,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,40,NA
2018-01-15,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,NA,35,NA
2018-01-15,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,30,NA
2018-01-15,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,35,NA
2018-01-16,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,52,NA
2018-01-16,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,20,NA
2018-01-16,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,69,NA
2018-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,60,NA
2018-01-16,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,28,61,NA
2018-01-16,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,68,NA
2018-01-16,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,29,NA
2018-01-16,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,70,NA
2018-01-16,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,24,58,NA
2018-01-16,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,37,NA
2018-01-16,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,53,NA
2018-01-17,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,37,NA
2018-01-17,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,24,NA
2018-01-17,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,55,NA
2018-01-17,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,54.5,NA
2018-01-17,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,NA,15,NA
2018-01-17,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,28,40.5,NA
